"level0","level1","level2","Highest qualification","count"
"Level 2 Certificate","Napier","North Island general electorates","Male",2673
"Level 3 Certificate","Napier","North Island general electorates","Male",1611
"Level 4 Certificate","Napier","North Island general electorates","Male",4104
"Level 5 or Level 6 Diploma(1)","Napier","North Island general electorates","Male",1818
"Bachelor Degree and Level 7 Qualification","Napier","North Island general electorates","Male",1929
"Post-graduate and Honours Degrees","Napier","North Island general electorates","Male",333
"Masters Degree","Napier","North Island general electorates","Male",321
"Doctorate Degree","Napier","North Island general electorates","Male",81
"Overseas Secondary School Qualification","Napier","North Island general electorates","Male",843
"Not Elsewhere Included(3)","Napier","North Island general electorates","Male",3108
"No Qualification","New Lynn","North Island general electorates","Male",3330
"Level 1 Certificate","New Lynn","North Island general electorates","Male",1980
"Level 2 Certificate","New Lynn","North Island general electorates","Male",1890
"Level 3 Certificate","New Lynn","North Island general electorates","Male",2118
"Level 4 Certificate","New Lynn","North Island general electorates","Male",2397
"Level 5 or Level 6 Diploma(1)","New Lynn","North Island general electorates","Male",1851
"Bachelor Degree and Level 7 Qualification","New Lynn","North Island general electorates","Male",3417
"Post-graduate and Honours Degrees","New Lynn","North Island general electorates","Male",531
"Masters Degree","New Lynn","North Island general electorates","Male",981
"Doctorate Degree","New Lynn","North Island general electorates","Male",159
"Overseas Secondary School Qualification","New Lynn","North Island general electorates","Male",2520
"Not Elsewhere Included(3)","New Lynn","North Island general electorates","Male",2664
"No Qualification","New Plymouth","North Island general electorates","Male",5922
"Level 1 Certificate","New Plymouth","North Island general electorates","Male",3123
"Level 2 Certificate","New Plymouth","North Island general electorates","Male",2310
"Level 3 Certificate","New Plymouth","North Island general electorates","Male",1512
"Level 4 Certificate","New Plymouth","North Island general electorates","Male",4476
"Level 5 or Level 6 Diploma(1)","New Plymouth","North Island general electorates","Male",1758
"Bachelor Degree and Level 7 Qualification","New Plymouth","North Island general electorates","Male",2091
"Post-graduate and Honours Degrees","New Plymouth","North Island general electorates","Male",417
"Masters Degree","New Plymouth","North Island general electorates","Male",423
"Doctorate Degree","New Plymouth","North Island general electorates","Male",99
"Overseas Secondary School Qualification","New Plymouth","North Island general electorates","Male",918
"Not Elsewhere Included(3)","New Plymouth","North Island general electorates","Male",3117
"No Qualification","North Shore","North Island general electorates","Male",1998
"Level 1 Certificate","North Shore","North Island general electorates","Male",1935
"Level 2 Certificate","North Shore","North Island general electorates","Male",2301
"Level 3 Certificate","North Shore","North Island general electorates","Male",2727
"Level 4 Certificate","North Shore","North Island general electorates","Male",2343
"Level 5 or Level 6 Diploma(1)","North Shore","North Island general electorates","Male",2112
"Bachelor Degree and Level 7 Qualification","North Shore","North Island general electorates","Male",4800
"Post-graduate and Honours Degrees","North Shore","North Island general electorates","Male",909
"Masters Degree","North Shore","North Island general electorates","Male",1311
"Doctorate Degree","North Shore","North Island general electorates","Male",339
"Overseas Secondary School Qualification","North Shore","North Island general electorates","Male",2148
"Not Elsewhere Included(3)","North Shore","North Island general electorates","Male",1659
"No Qualification","Northcote","North Island general electorates","Male",2919
"Level 1 Certificate","Northcote","North Island general electorates","Male",1926
"Level 2 Certificate","Northcote","North Island general electorates","Male",2118
"Level 3 Certificate","Northcote","North Island general electorates","Male",2466
"Level 4 Certificate","Northcote","North Island general electorates","Male",2679
"Level 5 or Level 6 Diploma(1)","Northcote","North Island general electorates","Male",2124
"Bachelor Degree and Level 7 Qualification","Northcote","North Island general electorates","Male",4053
"Post-graduate and Honours Degrees","Northcote","North Island general electorates","Male",690
"Masters Degree","Northcote","North Island general electorates","Male",939
"Doctorate Degree","Northcote","North Island general electorates","Male",258
"Overseas Secondary School Qualification","Northcote","North Island general electorates","Male",2268
"Not Elsewhere Included(3)","Northcote","North Island general electorates","Male",2247
"No Qualification","Northland","North Island general electorates","Male",8562
"Level 1 Certificate","Northland","North Island general electorates","Male",4044
"Level 2 Certificate","Northland","North Island general electorates","Male",2763
"Level 3 Certificate","Northland","North Island general electorates","Male",1686
"Level 4 Certificate","Northland","North Island general electorates","Male",4266
"Level 5 or Level 6 Diploma(1)","Northland","North Island general electorates","Male",1665
"Bachelor Degree and Level 7 Qualification","Northland","North Island general electorates","Male",1515
"Post-graduate and Honours Degrees","Northland","North Island general electorates","Male",252
"Masters Degree","Northland","North Island general electorates","Male",321
"Doctorate Degree","Northland","North Island general electorates","Male",105
"Overseas Secondary School Qualification","Northland","North Island general electorates","Male",1155
"Not Elsewhere Included(3)","Northland","North Island general electorates","Male",5454
"No Qualification","Ohariu","North Island general electorates","Male",1920
"Level 1 Certificate","Ohariu","North Island general electorates","Male",1704
"Level 2 Certificate","Ohariu","North Island general electorates","Male",2220
"Level 3 Certificate","Ohariu","North Island general electorates","Male",2154
"Level 4 Certificate","Ohariu","North Island general electorates","Male",2190
"Level 5 or Level 6 Diploma(1)","Ohariu","North Island general electorates","Male",1971
"Bachelor Degree and Level 7 Qualification","Ohariu","North Island general electorates","Male",4824
"Post-graduate and Honours Degrees","Ohariu","North Island general electorates","Male",1140
"Masters Degree","Ohariu","North Island general electorates","Male",1476
"Doctorate Degree","Ohariu","North Island general electorates","Male",420
"Overseas Secondary School Qualification","Ohariu","North Island general electorates","Male",1251
"Not Elsewhere Included(3)","Ohariu","North Island general electorates","Male",1434
"No Qualification","Otaki","North Island general electorates","Male",5676
"Level 1 Certificate","Otaki","North Island general electorates","Male",2796
"Level 2 Certificate","Otaki","North Island general electorates","Male",2283
"Level 3 Certificate","Otaki","North Island general electorates","Male",1347
"Level 4 Certificate","Otaki","North Island general electorates","Male",3720
"Level 5 or Level 6 Diploma(1)","Otaki","North Island general electorates","Male",1662
"Bachelor Degree and Level 7 Qualification","Otaki","North Island general electorates","Male",1812
"Post-graduate and Honours Degrees","Otaki","North Island general electorates","Male",402
"Masters Degree","Otaki","North Island general electorates","Male",468
"Doctorate Degree","Otaki","North Island general electorates","Male",156
"Overseas Secondary School Qualification","Otaki","North Island general electorates","Male",1068
"Not Elsewhere Included(3)","Otaki","North Island general electorates","Male",2847
"No Qualification","Pakuranga","North Island general electorates","Male",2865
"Level 1 Certificate","Pakuranga","North Island general electorates","Male",1944
"Level 2 Certificate","Pakuranga","North Island general electorates","Male",1968
"Level 3 Certificate","Pakuranga","North Island general electorates","Male",2187
"Level 4 Certificate","Pakuranga","North Island general electorates","Male",2988
"Level 5 or Level 6 Diploma(1)","Pakuranga","North Island general electorates","Male",2040
"Bachelor Degree and Level 7 Qualification","Pakuranga","North Island general electorates","Male",3615
"Post-graduate and Honours Degrees","Pakuranga","North Island general electorates","Male",600
"Masters Degree","Pakuranga","North Island general electorates","Male",876
"Doctorate Degree","Pakuranga","North Island general electorates","Male",159
"Overseas Secondary School Qualification","Pakuranga","North Island general electorates","Male",2760
"Not Elsewhere Included(3)","Pakuranga","North Island general electorates","Male",1770
"No Qualification","Palmerston North","North Island general electorates","Male",4491
"Level 1 Certificate","Palmerston North","North Island general electorates","Male",2772
"Level 2 Certificate","Palmerston North","North Island general electorates","Male",2520
"Level 3 Certificate","Palmerston North","North Island general electorates","Male",2598
"Level 4 Certificate","Palmerston North","North Island general electorates","Male",3102
