"level0","level1","Legally registered relationship status(1)","count"
"Ilam","South Island general electorates","Never married and never in a civil union",17781
"Invercargill","South Island general electorates","Never married and never in a civil union",15459
"Kaikoura","South Island general electorates","Never married and never in a civil union",12729
"Nelson","South Island general electorates","Never married and never in a civil union",14304
"Port Hills","South Island general electorates","Never married and never in a civil union",15273
"Rangitata","South Island general electorates","Never married and never in a civil union",13782
"Selwyn","South Island general electorates","Never married and never in a civil union",12864
"Waimakariri","South Island general electorates","Never married and never in a civil union",11862
"Waitaki","South Island general electorates","Never married and never in a civil union",12381
"West Coast-Tasman","South Island general electorates","Never married and never in a civil union",13872
"Wigram","South Island general electorates","Never married and never in a civil union",19305
"Area Outside General Electorate","South Island general electorates","Never married and never in a civil union",NA
"Auckland Central","North Island general electorates","Not Elsewhere Included(5)",7407
"Bay of Plenty","North Island general electorates","Not Elsewhere Included(5)",3837
"Botany","North Island general electorates","Not Elsewhere Included(5)",4035
"Coromandel","North Island general electorates","Not Elsewhere Included(5)",4581
"East Coast","North Island general electorates","Not Elsewhere Included(5)",9810
"East Coast Bays","North Island general electorates","Not Elsewhere Included(5)",3555
"Epsom","North Island general electorates","Not Elsewhere Included(5)",4290
"Hamilton East","North Island general electorates","Not Elsewhere Included(5)",5421
"Hamilton West","North Island general electorates","Not Elsewhere Included(5)",5178
"Helensville","North Island general electorates","Not Elsewhere Included(5)",4581
"Hunua","North Island general electorates","Not Elsewhere Included(5)",4032
"Hutt South","North Island general electorates","Not Elsewhere Included(5)",4290
"Kelston","North Island general electorates","Not Elsewhere Included(5)",5925
"Mana","North Island general electorates","Not Elsewhere Included(5)",5490
"Mangere","North Island general electorates","Not Elsewhere Included(5)",8682
"Manukau East","North Island general electorates","Not Elsewhere Included(5)",8118
"Manurewa","North Island general electorates","Not Elsewhere Included(5)",9075
"Maungakiekie","North Island general electorates","Not Elsewhere Included(5)",6516
"Mt Albert","North Island general electorates","Not Elsewhere Included(5)",4941
"Mt Roskill","North Island general electorates","Not Elsewhere Included(5)",4641
"Napier","North Island general electorates","Not Elsewhere Included(5)",5190
"New Lynn","North Island general electorates","Not Elsewhere Included(5)",4920
"New Plymouth","North Island general electorates","Not Elsewhere Included(5)",4848
"North Shore","North Island general electorates","Not Elsewhere Included(5)",3171
"Northcote","North Island general electorates","Not Elsewhere Included(5)",4383
"Northland","North Island general electorates","Not Elsewhere Included(5)",9156
"Ohariu","North Island general electorates","Not Elsewhere Included(5)",2754
"Otaki","North Island general electorates","Not Elsewhere Included(5)",4395
"Pakuranga","North Island general electorates","Not Elsewhere Included(5)",3231
"Palmerston North","North Island general electorates","Not Elsewhere Included(5)",4773
"Papakura","North Island general electorates","Not Elsewhere Included(5)",6510
"Rangitikei","North Island general electorates","Not Elsewhere Included(5)",4431
"Rimutaka","North Island general electorates","Not Elsewhere Included(5)",5445
"Rodney","North Island general electorates","Not Elsewhere Included(5)",3426
"Rongotai","North Island general electorates","Not Elsewhere Included(5)",4425
