"level0","level1","level2","Age group and sex","count"
"25–29 Years","Ohariu","North Island general electorates","Male",1623
"30–34 Years","Ohariu","North Island general electorates","Male",2037
"35–39 Years","Ohariu","North Island general electorates","Male",2244
"40–44 Years","Ohariu","North Island general electorates","Male",2463
"45–49 Years","Ohariu","North Island general electorates","Male",2427
"50–54 Years","Ohariu","North Island general electorates","Male",2190
"55–59 Years","Ohariu","North Island general electorates","Male",1656
"60–64 Years","Ohariu","North Island general electorates","Male",1434
"65–69 Years","Ohariu","North Island general electorates","Male",1101
"70–74 Years","Ohariu","North Island general electorates","Male",789
"75–79 Years","Ohariu","North Island general electorates","Male",516
"80–84 Years","Ohariu","North Island general electorates","Male",279
"85 Years And Over","Ohariu","North Island general electorates","Male",237
"18 Years And Over","Ohariu","North Island general electorates","Male",21447
"0–4 Years","Otaki","North Island general electorates","Male",1821
"5–9 Years","Otaki","North Island general electorates","Male",1911
"10–14 Years","Otaki","North Island general electorates","Male",2022
"15–19 Years","Otaki","North Island general electorates","Male",1902
"20–24 Years","Otaki","North Island general electorates","Male",1332
"25–29 Years","Otaki","North Island general electorates","Male",990
"30–34 Years","Otaki","North Island general electorates","Male",1071
"35–39 Years","Otaki","North Island general electorates","Male",1344
"40–44 Years","Otaki","North Island general electorates","Male",1794
"45–49 Years","Otaki","North Island general electorates","Male",2022
"50–54 Years","Otaki","North Island general electorates","Male",2253
"55–59 Years","Otaki","North Island general electorates","Male",1953
"60–64 Years","Otaki","North Island general electorates","Male",1980
"65–69 Years","Otaki","North Island general electorates","Male",2214
"70–74 Years","Otaki","North Island general electorates","Male",1914
"75–79 Years","Otaki","North Island general electorates","Male",1476
"80–84 Years","Otaki","North Island general electorates","Male",1110
"85 Years And Over","Otaki","North Island general electorates","Male",882
"18 Years And Over","Otaki","North Island general electorates","Male",22974
"0–4 Years","Pakuranga","North Island general electorates","Male",1869
"5–9 Years","Pakuranga","North Island general electorates","Male",2055
"10–14 Years","Pakuranga","North Island general electorates","Male",2274
"15–19 Years","Pakuranga","North Island general electorates","Male",2457
"20–24 Years","Pakuranga","North Island general electorates","Male",2106
"25–29 Years","Pakuranga","North Island general electorates","Male",1632
"30–34 Years","Pakuranga","North Island general electorates","Male",1674
"35–39 Years","Pakuranga","North Island general electorates","Male",1818
"40–44 Years","Pakuranga","North Island general electorates","Male",2232
"45–49 Years","Pakuranga","North Island general electorates","Male",2403
"50–54 Years","Pakuranga","North Island general electorates","Male",2097
"55–59 Years","Pakuranga","North Island general electorates","Male",1743
"60–64 Years","Pakuranga","North Island general electorates","Male",1593
"65–69 Years","Pakuranga","North Island general electorates","Male",1323
"70–74 Years","Pakuranga","North Island general electorates","Male",1050
"75–79 Years","Pakuranga","North Island general electorates","Male",711
"80–84 Years","Pakuranga","North Island general electorates","Male",531
"85 Years And Over","Pakuranga","North Island general electorates","Male",399
"18 Years And Over","Pakuranga","North Island general electorates","Male",22197
"0–4 Years","Palmerston North","North Island general electorates","Male",2397
"5–9 Years","Palmerston North","North Island general electorates","Male",2244
"10–14 Years","Palmerston North","North Island general electorates","Male",2160
"15–19 Years","Palmerston North","North Island general electorates","Male",2508
"20–24 Years","Palmerston North","North Island general electorates","Male",3237
"25–29 Years","Palmerston North","North Island general electorates","Male",2304
"30–34 Years","Palmerston North","North Island general electorates","Male",2031
"35–39 Years","Palmerston North","North Island general electorates","Male",1839
"40–44 Years","Palmerston North","North Island general electorates","Male",1965
"45–49 Years","Palmerston North","North Island general electorates","Male",1887
"50–54 Years","Palmerston North","North Island general electorates","Male",1974
"55–59 Years","Palmerston North","North Island general electorates","Male",1629
"60–64 Years","Palmerston North","North Island general electorates","Male",1488
"65–69 Years","Palmerston North","North Island general electorates","Male",1227
"70–74 Years","Palmerston North","North Island general electorates","Male",966
"75–79 Years","Palmerston North","North Island general electorates","Male",756
"80–84 Years","Palmerston North","North Island general electorates","Male",537
"85 Years And Over","Palmerston North","North Island general electorates","Male",468
"18 Years And Over","Palmerston North","North Island general electorates","Male",23427
"0–4 Years","Papakura","North Island general electorates","Male",3225
"5–9 Years","Papakura","North Island general electorates","Male",2991
"10–14 Years","Papakura","North Island general electorates","Male",2850
"15–19 Years","Papakura","North Island general electorates","Male",2679
"20–24 Years","Papakura","North Island general electorates","Male",2502
"25–29 Years","Papakura","North Island general electorates","Male",2208
"30–34 Years","Papakura","North Island general electorates","Male",2073
"35–39 Years","Papakura","North Island general electorates","Male",2178
"40–44 Years","Papakura","North Island general electorates","Male",2454
"45–49 Years","Papakura","North Island general electorates","Male",2418
"50–54 Years","Papakura","North Island general electorates","Male",2421
"55–59 Years","Papakura","North Island general electorates","Male",1929
"60–64 Years","Papakura","North Island general electorates","Male",1743
"65–69 Years","Papakura","North Island general electorates","Male",1374
"70–74 Years","Papakura","North Island general electorates","Male",969
"75–79 Years","Papakura","North Island general electorates","Male",615
"80–84 Years","Papakura","North Island general electorates","Male",492
"85 Years And Over","Papakura","North Island general electorates","Male",339
"18 Years And Over","Papakura","North Island general electorates","Male",24765
"0–4 Years","Rangitikei","North Island general electorates","Male",2460
"5–9 Years","Rangitikei","North Island general electorates","Male",2478
"10–14 Years","Rangitikei","North Island general electorates","Male",2565
"15–19 Years","Rangitikei","North Island general electorates","Male",2658
"20–24 Years","Rangitikei","North Island general electorates","Male",2184
"25–29 Years","Rangitikei","North Island general electorates","Male",1758
