"level0","level1","level2","Age group and sex","count"
"5–9 Years","Napier","North Island general electorates","Male",2424
"10–14 Years","Napier","North Island general electorates","Male",2517
"15–19 Years","Napier","North Island general electorates","Male",2385
"20–24 Years","Napier","North Island general electorates","Male",1824
"25–29 Years","Napier","North Island general electorates","Male",1524
"30–34 Years","Napier","North Island general electorates","Male",1602
"35–39 Years","Napier","North Island general electorates","Male",1890
"40–44 Years","Napier","North Island general electorates","Male",2277
"45–49 Years","Napier","North Island general electorates","Male",2283
"50–54 Years","Napier","North Island general electorates","Male",2490
"55–59 Years","Napier","North Island general electorates","Male",2229
"60–64 Years","Napier","North Island general electorates","Male",2163
"65–69 Years","Napier","North Island general electorates","Male",1902
"70–74 Years","Napier","North Island general electorates","Male",1425
"75–79 Years","Napier","North Island general electorates","Male",1083
"80–84 Years","Napier","North Island general electorates","Male",762
"85 Years And Over","Napier","North Island general electorates","Male",543
"18 Years And Over","Napier","North Island general electorates","Male",24786
"0–4 Years","New Lynn","North Island general electorates","Male",2247
"5–9 Years","New Lynn","North Island general electorates","Male",1971
"10–14 Years","New Lynn","North Island general electorates","Male",1845
"15–19 Years","New Lynn","North Island general electorates","Male",2166
"20–24 Years","New Lynn","North Island general electorates","Male",2274
"25–29 Years","New Lynn","North Island general electorates","Male",2223
"30–34 Years","New Lynn","North Island general electorates","Male",2190
"35–39 Years","New Lynn","North Island general electorates","Male",2058
"40–44 Years","New Lynn","North Island general electorates","Male",2157
"45–49 Years","New Lynn","North Island general electorates","Male",2052
"50–54 Years","New Lynn","North Island general electorates","Male",1992
"55–59 Years","New Lynn","North Island general electorates","Male",1659
"60–64 Years","New Lynn","North Island general electorates","Male",1347
"65–69 Years","New Lynn","North Island general electorates","Male",1089
"70–74 Years","New Lynn","North Island general electorates","Male",939
"75–79 Years","New Lynn","North Island general electorates","Male",762
"80–84 Years","New Lynn","North Island general electorates","Male",519
"85 Years And Over","New Lynn","North Island general electorates","Male",402
"18 Years And Over","New Lynn","North Island general electorates","Male",22569
"0–4 Years","New Plymouth","North Island general electorates","Male",2427
"5–9 Years","New Plymouth","North Island general electorates","Male",2409
"10–14 Years","New Plymouth","North Island general electorates","Male",2349
"15–19 Years","New Plymouth","North Island general electorates","Male",2199
"20–24 Years","New Plymouth","North Island general electorates","Male",1956
"25–29 Years","New Plymouth","North Island general electorates","Male",1764
"30–34 Years","New Plymouth","North Island general electorates","Male",1902
"35–39 Years","New Plymouth","North Island general electorates","Male",2025
"40–44 Years","New Plymouth","North Island general electorates","Male",2286
"45–49 Years","New Plymouth","North Island general electorates","Male",2262
"50–54 Years","New Plymouth","North Island general electorates","Male",2346
"55–59 Years","New Plymouth","North Island general electorates","Male",2148
"60–64 Years","New Plymouth","North Island general electorates","Male",2076
"65–69 Years","New Plymouth","North Island general electorates","Male",1671
"70–74 Years","New Plymouth","North Island general electorates","Male",1239
"75–79 Years","New Plymouth","North Island general electorates","Male",972
"80–84 Years","New Plymouth","North Island general electorates","Male",741
"85 Years And Over","New Plymouth","North Island general electorates","Male",585
"18 Years And Over","New Plymouth","North Island general electorates","Male",24732
"0–4 Years","North Shore","North Island general electorates","Male",1866
"5–9 Years","North Shore","North Island general electorates","Male",2034
"10–14 Years","North Shore","North Island general electorates","Male",2259
"15–19 Years","North Shore","North Island general electorates","Male",2421
"20–24 Years","North Shore","North Island general electorates","Male",2193
"25–29 Years","North Shore","North Island general electorates","Male",1758
"30–34 Years","North Shore","North Island general electorates","Male",1614
"35–39 Years","North Shore","North Island general electorates","Male",1830
"40–44 Years","North Shore","North Island general electorates","Male",2184
"45–49 Years","North Shore","North Island general electorates","Male",2346
"50–54 Years","North Shore","North Island general electorates","Male",2241
"55–59 Years","North Shore","North Island general electorates","Male",1905
"60–64 Years","North Shore","North Island general electorates","Male",1767
"65–69 Years","North Shore","North Island general electorates","Male",1512
"70–74 Years","North Shore","North Island general electorates","Male",1083
"75–79 Years","North Shore","North Island general electorates","Male",690
"80–84 Years","North Shore","North Island general electorates","Male",558
"85 Years And Over","North Shore","North Island general electorates","Male",480
"18 Years And Over","North Shore","North Island general electorates","Male",23085
"0–4 Years","Northcote","North Island general electorates","Male",2424
"5–9 Years","Northcote","North Island general electorates","Male",1989
"10–14 Years","Northcote","North Island general electorates","Male",1902
"15–19 Years","Northcote","North Island general electorates","Male",2073
"20–24 Years","Northcote","North Island general electorates","Male",2421
"25–29 Years","Northcote","North Island general electorates","Male",2271
"30–34 Years","Northcote","North Island general electorates","Male",2478
"35–39 Years","Northcote","North Island general electorates","Male",2388
"40–44 Years","Northcote","North Island general electorates","Male",2400
"45–49 Years","Northcote","North Island general electorates","Male",2115
"50–54 Years","Northcote","North Island general electorates","Male",1899
"55–59 Years","Northcote","North Island general electorates","Male",1617
"60–64 Years","Northcote","North Island general electorates","Male",1473
"65–69 Years","Northcote","North Island general electorates","Male",1284
"70–74 Years","Northcote","North Island general electorates","Male",909
"75–79 Years","Northcote","North Island general electorates","Male",633
"80–84 Years","Northcote","North Island general electorates","Male",414
"85 Years And Over","Northcote","North Island general electorates","Male",309
"18 Years And Over","Northcote","North Island general electorates","Male",23514
"0–4 Years","Northland","North Island general electorates","Male",2991
"5–9 Years","Northland","North Island general electorates","Male",3054
"10–14 Years","Northland","North Island general electorates","Male",3243
"15–19 Years","Northland","North Island general electorates","Male",2742
"20–24 Years","Northland","North Island general electorates","Male",1809
"25–29 Years","Northland","North Island general electorates","Male",1575
"30–34 Years","Northland","North Island general electorates","Male",1662
"35–39 Years","Northland","North Island general electorates","Male",1914
"40–44 Years","Northland","North Island general electorates","Male",2424
"45–49 Years","Northland","North Island general electorates","Male",2718
"50–54 Years","Northland","North Island general electorates","Male",3168
"55–59 Years","Northland","North Island general electorates","Male",3066
"60–64 Years","Northland","North Island general electorates","Male",3087
"65–69 Years","Northland","North Island general electorates","Male",2775
"70–74 Years","Northland","North Island general electorates","Male",2211
"75–79 Years","Northland","North Island general electorates","Male",1284
"80–84 Years","Northland","North Island general electorates","Male",822
"85 Years And Over","Northland","North Island general electorates","Male",525
"18 Years And Over","Northland","North Island general electorates","Male",29943
"0–4 Years","Ohariu","North Island general electorates","Male",2211
"5–9 Years","Ohariu","North Island general electorates","Male",2133
"10–14 Years","Ohariu","North Island general electorates","Male",2073
"15–19 Years","Ohariu","North Island general electorates","Male",1971
"20–24 Years","Ohariu","North Island general electorates","Male",1755
