"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Not elsewhere included(7)","Upper Harbour","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Waikato","North Island general electorates","Less than 1 Year",48
"Pacific Islands(4)","Waikato","North Island general electorates","Less than 1 Year",24
"United Kingdom and Ireland(5)","Waikato","North Island general electorates","Less than 1 Year",69
"Europe (excluding United Kingdom and Ireland)","Waikato","North Island general electorates","Less than 1 Year",30
"North America","Waikato","North Island general electorates","Less than 1 Year",9
"Asia","Waikato","North Island general electorates","Less than 1 Year",87
"Middle East and Africa","Waikato","North Island general electorates","Less than 1 Year",9
"Other","Waikato","North Island general electorates","Less than 1 Year",3
"Not elsewhere included(7)","Waikato","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Wairarapa","North Island general electorates","Less than 1 Year",42
"Pacific Islands(4)","Wairarapa","North Island general electorates","Less than 1 Year",15
"United Kingdom and Ireland(5)","Wairarapa","North Island general electorates","Less than 1 Year",42
"Europe (excluding United Kingdom and Ireland)","Wairarapa","North Island general electorates","Less than 1 Year",24
"North America","Wairarapa","North Island general electorates","Less than 1 Year",12
"Asia","Wairarapa","North Island general electorates","Less than 1 Year",60
"Middle East and Africa","Wairarapa","North Island general electorates","Less than 1 Year",15
"Other","Wairarapa","North Island general electorates","Less than 1 Year",3
"Not elsewhere included(7)","Wairarapa","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Wellington Central","North Island general electorates","Less than 1 Year",120
"Pacific Islands(4)","Wellington Central","North Island general electorates","Less than 1 Year",24
"United Kingdom and Ireland(5)","Wellington Central","North Island general electorates","Less than 1 Year",396
"Europe (excluding United Kingdom and Ireland)","Wellington Central","North Island general electorates","Less than 1 Year",192
"North America","Wellington Central","North Island general electorates","Less than 1 Year",201
"Asia","Wellington Central","North Island general electorates","Less than 1 Year",792
"Middle East and Africa","Wellington Central","North Island general electorates","Less than 1 Year",84
"Other","Wellington Central","North Island general electorates","Less than 1 Year",75
"Not elsewhere included(7)","Wellington Central","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Whanganui","North Island general electorates","Less than 1 Year",42
"Pacific Islands(4)","Whanganui","North Island general electorates","Less than 1 Year",9
"United Kingdom and Ireland(5)","Whanganui","North Island general electorates","Less than 1 Year",42
"Europe (excluding United Kingdom and Ireland)","Whanganui","North Island general electorates","Less than 1 Year",15
"North America","Whanganui","North Island general electorates","Less than 1 Year",18
"Asia","Whanganui","North Island general electorates","Less than 1 Year",99
"Middle East and Africa","Whanganui","North Island general electorates","Less than 1 Year",15
"Other","Whanganui","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Whanganui","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Whangarei","North Island general electorates","Less than 1 Year",39
"Pacific Islands(4)","Whangarei","North Island general electorates","Less than 1 Year",12
"United Kingdom and Ireland(5)","Whangarei","North Island general electorates","Less than 1 Year",87
"Europe (excluding United Kingdom and Ireland)","Whangarei","North Island general electorates","Less than 1 Year",30
"North America","Whangarei","North Island general electorates","Less than 1 Year",24
"Asia","Whangarei","North Island general electorates","Less than 1 Year",108
"Middle East and Africa","Whangarei","North Island general electorates","Less than 1 Year",21
"Other","Whangarei","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Whangarei","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Christchurch Central","South Island general electorates","Less than 1 Year",75
"Pacific Islands(4)","Christchurch Central","South Island general electorates","Less than 1 Year",72
"United Kingdom and Ireland(5)","Christchurch Central","South Island general electorates","Less than 1 Year",495
"Europe (excluding United Kingdom and Ireland)","Christchurch Central","South Island general electorates","Less than 1 Year",102
"North America","Christchurch Central","South Island general electorates","Less than 1 Year",72
"Asia","Christchurch Central","South Island general electorates","Less than 1 Year",375
"Middle East and Africa","Christchurch Central","South Island general electorates","Less than 1 Year",78
"Other","Christchurch Central","South Island general electorates","Less than 1 Year",63
"Not elsewhere included(7)","Christchurch Central","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Christchurch East","South Island general electorates","Less than 1 Year",45
"Pacific Islands(4)","Christchurch East","South Island general electorates","Less than 1 Year",21
"United Kingdom and Ireland(5)","Christchurch East","South Island general electorates","Less than 1 Year",141
"Europe (excluding United Kingdom and Ireland)","Christchurch East","South Island general electorates","Less than 1 Year",48
"North America","Christchurch East","South Island general electorates","Less than 1 Year",21
"Asia","Christchurch East","South Island general electorates","Less than 1 Year",108
"Middle East and Africa","Christchurch East","South Island general electorates","Less than 1 Year",33
"Other","Christchurch East","South Island general electorates","Less than 1 Year",21
"Not elsewhere included(7)","Christchurch East","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Clutha-Southland","South Island general electorates","Less than 1 Year",93
"Pacific Islands(4)","Clutha-Southland","South Island general electorates","Less than 1 Year",42
"United Kingdom and Ireland(5)","Clutha-Southland","South Island general electorates","Less than 1 Year",312
"Europe (excluding United Kingdom and Ireland)","Clutha-Southland","South Island general electorates","Less than 1 Year",138
"North America","Clutha-Southland","South Island general electorates","Less than 1 Year",81
"Asia","Clutha-Southland","South Island general electorates","Less than 1 Year",264
"Middle East and Africa","Clutha-Southland","South Island general electorates","Less than 1 Year",36
"Other","Clutha-Southland","South Island general electorates","Less than 1 Year",102
"Not elsewhere included(7)","Clutha-Southland","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Dunedin North","South Island general electorates","Less than 1 Year",81
"Pacific Islands(4)","Dunedin North","South Island general electorates","Less than 1 Year",30
"United Kingdom and Ireland(5)","Dunedin North","South Island general electorates","Less than 1 Year",93
"Europe (excluding United Kingdom and Ireland)","Dunedin North","South Island general electorates","Less than 1 Year",99
"North America","Dunedin North","South Island general electorates","Less than 1 Year",78
"Asia","Dunedin North","South Island general electorates","Less than 1 Year",351
"Middle East and Africa","Dunedin North","South Island general electorates","Less than 1 Year",57
"Other","Dunedin North","South Island general electorates","Less than 1 Year",21
"Not elsewhere included(7)","Dunedin North","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Dunedin South","South Island general electorates","Less than 1 Year",48
"Pacific Islands(4)","Dunedin South","South Island general electorates","Less than 1 Year",3
"United Kingdom and Ireland(5)","Dunedin South","South Island general electorates","Less than 1 Year",84
"Europe (excluding United Kingdom and Ireland)","Dunedin South","South Island general electorates","Less than 1 Year",60
"North America","Dunedin South","South Island general electorates","Less than 1 Year",36
"Asia","Dunedin South","South Island general electorates","Less than 1 Year",87
"Middle East and Africa","Dunedin South","South Island general electorates","Less than 1 Year",24
"Other","Dunedin South","South Island general electorates","Less than 1 Year",6
"Not elsewhere included(7)","Dunedin South","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Ilam","South Island general electorates","Less than 1 Year",60
"Pacific Islands(4)","Ilam","South Island general electorates","Less than 1 Year",24
"United Kingdom and Ireland(5)","Ilam","South Island general electorates","Less than 1 Year",201
"Europe (excluding United Kingdom and Ireland)","Ilam","South Island general electorates","Less than 1 Year",72
"North America","Ilam","South Island general electorates","Less than 1 Year",57
"Asia","Ilam","South Island general electorates","Less than 1 Year",495
"Middle East and Africa","Ilam","South Island general electorates","Less than 1 Year",84
"Other","Ilam","South Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Ilam","South Island general electorates","Less than 1 Year",NA
"Australia(3)","Invercargill","South Island general electorates","Less than 1 Year",42
