"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Pacific Islands(4)","Palmerston North","North Island general electorates","Less than 1 Year",48
"United Kingdom and Ireland(5)","Palmerston North","North Island general electorates","Less than 1 Year",54
"Europe (excluding United Kingdom and Ireland)","Palmerston North","North Island general electorates","Less than 1 Year",30
"North America","Palmerston North","North Island general electorates","Less than 1 Year",60
"Asia","Palmerston North","North Island general electorates","Less than 1 Year",510
"Middle East and Africa","Palmerston North","North Island general electorates","Less than 1 Year",54
"Other","Palmerston North","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Palmerston North","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Papakura","North Island general electorates","Less than 1 Year",33
"Pacific Islands(4)","Papakura","North Island general electorates","Less than 1 Year",114
"United Kingdom and Ireland(5)","Papakura","North Island general electorates","Less than 1 Year",30
"Europe (excluding United Kingdom and Ireland)","Papakura","North Island general electorates","Less than 1 Year",15
"North America","Papakura","North Island general electorates","Less than 1 Year",15
"Asia","Papakura","North Island general electorates","Less than 1 Year",240
"Middle East and Africa","Papakura","North Island general electorates","Less than 1 Year",48
"Other","Papakura","North Island general electorates","Less than 1 Year",6
"Not elsewhere included(7)","Papakura","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Rangitikei","North Island general electorates","Less than 1 Year",42
"Pacific Islands(4)","Rangitikei","North Island general electorates","Less than 1 Year",114
"United Kingdom and Ireland(5)","Rangitikei","North Island general electorates","Less than 1 Year",57
"Europe (excluding United Kingdom and Ireland)","Rangitikei","North Island general electorates","Less than 1 Year",27
"North America","Rangitikei","North Island general electorates","Less than 1 Year",27
"Asia","Rangitikei","North Island general electorates","Less than 1 Year",228
"Middle East and Africa","Rangitikei","North Island general electorates","Less than 1 Year",18
"Other","Rangitikei","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Rangitikei","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Rimutaka","North Island general electorates","Less than 1 Year",36
"Pacific Islands(4)","Rimutaka","North Island general electorates","Less than 1 Year",99
"United Kingdom and Ireland(5)","Rimutaka","North Island general electorates","Less than 1 Year",63
"Europe (excluding United Kingdom and Ireland)","Rimutaka","North Island general electorates","Less than 1 Year",18
"North America","Rimutaka","North Island general electorates","Less than 1 Year",6
"Asia","Rimutaka","North Island general electorates","Less than 1 Year",141
"Middle East and Africa","Rimutaka","North Island general electorates","Less than 1 Year",45
"Other","Rimutaka","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Rimutaka","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Rodney","North Island general electorates","Less than 1 Year",39
"Pacific Islands(4)","Rodney","North Island general electorates","Less than 1 Year",36
"United Kingdom and Ireland(5)","Rodney","North Island general electorates","Less than 1 Year",165
"Europe (excluding United Kingdom and Ireland)","Rodney","North Island general electorates","Less than 1 Year",66
"North America","Rodney","North Island general electorates","Less than 1 Year",21
"Asia","Rodney","North Island general electorates","Less than 1 Year",111
"Middle East and Africa","Rodney","North Island general electorates","Less than 1 Year",87
"Other","Rodney","North Island general electorates","Less than 1 Year",12
"Not elsewhere included(7)","Rodney","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Rongotai","North Island general electorates","Less than 1 Year",75
"Pacific Islands(4)","Rongotai","North Island general electorates","Less than 1 Year",30
"United Kingdom and Ireland(5)","Rongotai","North Island general electorates","Less than 1 Year",186
"Europe (excluding United Kingdom and Ireland)","Rongotai","North Island general electorates","Less than 1 Year",90
"North America","Rongotai","North Island general electorates","Less than 1 Year",81
"Asia","Rongotai","North Island general electorates","Less than 1 Year",294
"Middle East and Africa","Rongotai","North Island general electorates","Less than 1 Year",141
"Other","Rongotai","North Island general electorates","Less than 1 Year",24
"Not elsewhere included(7)","Rongotai","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Rotorua","North Island general electorates","Less than 1 Year",66
"Pacific Islands(4)","Rotorua","North Island general electorates","Less than 1 Year",36
"United Kingdom and Ireland(5)","Rotorua","North Island general electorates","Less than 1 Year",69
"Europe (excluding United Kingdom and Ireland)","Rotorua","North Island general electorates","Less than 1 Year",27
"North America","Rotorua","North Island general electorates","Less than 1 Year",24
"Asia","Rotorua","North Island general electorates","Less than 1 Year",423
"Middle East and Africa","Rotorua","North Island general electorates","Less than 1 Year",18
"Other","Rotorua","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Rotorua","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Tamaki","North Island general electorates","Less than 1 Year",81
"Pacific Islands(4)","Tamaki","North Island general electorates","Less than 1 Year",42
"United Kingdom and Ireland(5)","Tamaki","North Island general electorates","Less than 1 Year",222
"Europe (excluding United Kingdom and Ireland)","Tamaki","North Island general electorates","Less than 1 Year",159
"North America","Tamaki","North Island general electorates","Less than 1 Year",54
"Asia","Tamaki","North Island general electorates","Less than 1 Year",294
"Middle East and Africa","Tamaki","North Island general electorates","Less than 1 Year",72
"Other","Tamaki","North Island general electorates","Less than 1 Year",36
"Not elsewhere included(7)","Tamaki","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Taranaki-King Country","North Island general electorates","Less than 1 Year",48
"Pacific Islands(4)","Taranaki-King Country","North Island general electorates","Less than 1 Year",33
"United Kingdom and Ireland(5)","Taranaki-King Country","North Island general electorates","Less than 1 Year",78
"Europe (excluding United Kingdom and Ireland)","Taranaki-King Country","North Island general electorates","Less than 1 Year",21
"North America","Taranaki-King Country","North Island general electorates","Less than 1 Year",24
"Asia","Taranaki-King Country","North Island general electorates","Less than 1 Year",78
"Middle East and Africa","Taranaki-King Country","North Island general electorates","Less than 1 Year",24
"Other","Taranaki-King Country","North Island general electorates","Less than 1 Year",6
"Not elsewhere included(7)","Taranaki-King Country","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Taupo","North Island general electorates","Less than 1 Year",69
"Pacific Islands(4)","Taupo","North Island general electorates","Less than 1 Year",12
"United Kingdom and Ireland(5)","Taupo","North Island general electorates","Less than 1 Year",144
"Europe (excluding United Kingdom and Ireland)","Taupo","North Island general electorates","Less than 1 Year",63
"North America","Taupo","North Island general electorates","Less than 1 Year",30
"Asia","Taupo","North Island general electorates","Less than 1 Year",120
"Middle East and Africa","Taupo","North Island general electorates","Less than 1 Year",42
"Other","Taupo","North Island general electorates","Less than 1 Year",12
"Not elsewhere included(7)","Taupo","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Tauranga","North Island general electorates","Less than 1 Year",57
"Pacific Islands(4)","Tauranga","North Island general electorates","Less than 1 Year",21
