"level0","level1","Total household income(1)","count"
"Rimutaka","North Island general electorates","$10,001– $15,000",1074
"Rodney","North Island general electorates","$10,001– $15,000",702
"Rongotai","North Island general electorates","$10,001– $15,000",726
"Rotorua","North Island general electorates","$10,001– $15,000",1296
"Tamaki","North Island general electorates","$10,001– $15,000",525
"Taranaki-King Country","North Island general electorates","$10,001– $15,000",891
"Taupo","North Island general electorates","$10,001– $15,000",1149
"Tauranga","North Island general electorates","$10,001– $15,000",867
"Te Atatu","North Island general electorates","$10,001– $15,000",822
"Tukituki","North Island general electorates","$10,001– $15,000",1188
"Upper Harbour","North Island general electorates","$10,001– $15,000",690
"Waikato","North Island general electorates","$10,001– $15,000",882
"Wairarapa","North Island general electorates","$10,001– $15,000",1311
"Wellington Central","North Island general electorates","$10,001– $15,000",738
"Whanganui","North Island general electorates","$10,001– $15,000",1671
"Whangarei","North Island general electorates","$10,001– $15,000",1362
"Christchurch Central","South Island general electorates","$10,001– $15,000",1110
"Christchurch East","South Island general electorates","$10,001– $15,000",1041
"Clutha-Southland","South Island general electorates","$10,001– $15,000",720
"Dunedin North","South Island general electorates","$10,001– $15,000",1455
"Dunedin South","South Island general electorates","$10,001– $15,000",996
"Ilam","South Island general electorates","$10,001– $15,000",687
"Invercargill","South Island general electorates","$10,001– $15,000",1053
"Kaikoura","South Island general electorates","$10,001– $15,000",846
"Nelson","South Island general electorates","$10,001– $15,000",906
"Port Hills","South Island general electorates","$10,001– $15,000",645
"Rangitata","South Island general electorates","$10,001– $15,000",900
"Selwyn","South Island general electorates","$10,001– $15,000",366
"Waimakariri","South Island general electorates","$10,001– $15,000",522
"Waitaki","South Island general electorates","$10,001– $15,000",879
"West Coast-Tasman","South Island general electorates","$10,001– $15,000",1128
"Wigram","South Island general electorates","$10,001– $15,000",888
"Area Outside General Electorate","South Island general electorates","$10,001– $15,000",NA
"Auckland Central","North Island general electorates","$15,001– $20,000",1332
"Bay of Plenty","North Island general electorates","$15,001– $20,000",1578
"Botany","North Island general electorates","$15,001– $20,000",816
"Coromandel","North Island general electorates","$15,001– $20,000",2349
"East Coast","North Island general electorates","$15,001– $20,000",3066
"East Coast Bays","North Island general electorates","$15,001– $20,000",906
"Epsom","North Island general electorates","$15,001– $20,000",810
"Hamilton East","North Island general electorates","$15,001– $20,000",1788
"Hamilton West","North Island general electorates","$15,001– $20,000",1647
"Helensville","North Island general electorates","$15,001– $20,000",840
"Hunua","North Island general electorates","$15,001– $20,000",1017
"Hutt South","North Island general electorates","$15,001– $20,000",1335
"Kelston","North Island general electorates","$15,001– $20,000",1407
"Mana","North Island general electorates","$15,001– $20,000",1371
"Mangere","North Island general electorates","$15,001– $20,000",1134
"Manukau East","North Island general electorates","$15,001– $20,000",1569
"Manurewa","North Island general electorates","$15,001– $20,000",1539
"Maungakiekie","North Island general electorates","$15,001– $20,000",1521
"Mt Albert","North Island general electorates","$15,001– $20,000",1116
"Mt Roskill","North Island general electorates","$15,001– $20,000",1575
"Napier","North Island general electorates","$15,001– $20,000",2196
"New Lynn","North Island general electorates","$15,001– $20,000",1374
"New Plymouth","North Island general electorates","$15,001– $20,000",1854
"North Shore","North Island general electorates","$15,001– $20,000",1056
"Northcote","North Island general electorates","$15,001– $20,000",1101
"Northland","North Island general electorates","$15,001– $20,000",3003
"Ohariu","North Island general electorates","$15,001– $20,000",639
"Otaki","North Island general electorates","$15,001– $20,000",2244
"Pakuranga","North Island general electorates","$15,001– $20,000",1026
"Palmerston North","North Island general electorates","$15,001– $20,000",1914
"Papakura","North Island general electorates","$15,001– $20,000",1395
"Rangitikei","North Island general electorates","$15,001– $20,000",1977
"Rimutaka","North Island general electorates","$15,001– $20,000",1686
"Rodney","North Island general electorates","$15,001– $20,000",1341
"Rongotai","North Island general electorates","$15,001– $20,000",1209
"Rotorua","North Island general electorates","$15,001– $20,000",2025
"Tamaki","North Island general electorates","$15,001– $20,000",837
"Taranaki-King Country","North Island general electorates","$15,001– $20,000",1455
"Taupo","North Island general electorates","$15,001– $20,000",2019
"Tauranga","North Island general electorates","$15,001– $20,000",1740
"Te Atatu","North Island general electorates","$15,001– $20,000",1401
"Tukituki","North Island general electorates","$15,001– $20,000",1962
"Upper Harbour","North Island general electorates","$15,001– $20,000",930
"Waikato","North Island general electorates","$15,001– $20,000",1566
"Wairarapa","North Island general electorates","$15,001– $20,000",2148
"Wellington Central","North Island general electorates","$15,001– $20,000",987
"Whanganui","North Island general electorates","$15,001– $20,000",2415
"Whangarei","North Island general electorates","$15,001– $20,000",2196
"Christchurch Central","South Island general electorates","$15,001– $20,000",1605
"Christchurch East","South Island general electorates","$15,001– $20,000",1665
"Clutha-Southland","South Island general electorates","$15,001– $20,000",1308
"Dunedin North","South Island general electorates","$15,001– $20,000",2013
"Dunedin South","South Island general electorates","$15,001– $20,000",1818
"Ilam","South Island general electorates","$15,001– $20,000",1245
"Invercargill","South Island general electorates","$15,001– $20,000",1701
"Kaikoura","South Island general electorates","$15,001– $20,000",1572
"Nelson","South Island general electorates","$15,001– $20,000",1758
"Port Hills","South Island general electorates","$15,001– $20,000",1161
"Rangitata","South Island general electorates","$15,001– $20,000",1722
"Selwyn","South Island general electorates","$15,001– $20,000",675
"Waimakariri","South Island general electorates","$15,001– $20,000",1080
"Waitaki","South Island general electorates","$15,001– $20,000",1656
"West Coast-Tasman","South Island general electorates","$15,001– $20,000",1866
"Wigram","South Island general electorates","$15,001– $20,000",1527
"Area Outside General Electorate","South Island general electorates","$15,001– $20,000",NA
"Auckland Central","North Island general electorates","$20,001– $25,000",1323
"Bay of Plenty","North Island general electorates","$20,001– $25,000",1683
"Botany","North Island general electorates","$20,001– $25,000",909
"Coromandel","North Island general electorates","$20,001– $25,000",2478
"East Coast","North Island general electorates","$20,001– $25,000",3075
"East Coast Bays","North Island general electorates","$20,001– $25,000",1089
"Epsom","North Island general electorates","$20,001– $25,000",945
"Hamilton East","North Island general electorates","$20,001– $25,000",1875
"Hamilton West","North Island general electorates","$20,001– $25,000",1731
"Helensville","North Island general electorates","$20,001– $25,000",867
"Hunua","North Island general electorates","$20,001– $25,000",1245
"Hutt South","North Island general electorates","$20,001– $25,000",1431
"Kelston","North Island general electorates","$20,001– $25,000",1443
"Mana","North Island general electorates","$20,001– $25,000",1497
"Mangere","North Island general electorates","$20,001– $25,000",1104
"Manukau East","North Island general electorates","$20,001– $25,000",1215
"Manurewa","North Island general electorates","$20,001– $25,000",1377
"Maungakiekie","North Island general electorates","$20,001– $25,000",1254
"Mt Albert","North Island general electorates","$20,001– $25,000",1047
"Mt Roskill","North Island general electorates","$20,001– $25,000",1218
"Napier","North Island general electorates","$20,001– $25,000",2340
"New Lynn","North Island general electorates","$20,001– $25,000",1446
"New Plymouth","North Island general electorates","$20,001– $25,000",1983
"North Shore","North Island general electorates","$20,001– $25,000",1254
"Northcote","North Island general electorates","$20,001– $25,000",1284
"Northland","North Island general electorates","$20,001– $25,000",3105
"Ohariu","North Island general electorates","$20,001– $25,000",726
"Otaki","North Island general electorates","$20,001– $25,000",2793
"Pakuranga","North Island general electorates","$20,001– $25,000",1263
"Palmerston North","North Island general electorates","$20,001– $25,000",2241
"Papakura","North Island general electorates","$20,001– $25,000",1503
"Rangitikei","North Island general electorates","$20,001– $25,000",1872
"Rimutaka","North Island general electorates","$20,001– $25,000",1914
"Rodney","North Island general electorates","$20,001– $25,000",1599
"Rongotai","North Island general electorates","$20,001– $25,000",1212
"Rotorua","North Island general electorates","$20,001– $25,000",2322
"Tamaki","North Island general electorates","$20,001– $25,000",948
"Taranaki-King Country","North Island general electorates","$20,001– $25,000",1725
"Taupo","North Island general electorates","$20,001– $25,000",2160
"Tauranga","North Island general electorates","$20,001– $25,000",2217
"Te Atatu","North Island general electorates","$20,001– $25,000",1545
"Tukituki","North Island general electorates","$20,001– $25,000",2031
"Upper Harbour","North Island general electorates","$20,001– $25,000",1110
"Waikato","North Island general electorates","$20,001– $25,000",1617
"Wairarapa","North Island general electorates","$20,001– $25,000",2400
"Wellington Central","North Island general electorates","$20,001– $25,000",1221
"Whanganui","North Island general electorates","$20,001– $25,000",2679
"Whangarei","North Island general electorates","$20,001– $25,000",2358
"Christchurch Central","South Island general electorates","$20,001– $25,000",1848
"Christchurch East","South Island general electorates","$20,001– $25,000",1794
"Clutha-Southland","South Island general electorates","$20,001– $25,000",1464
"Dunedin North","South Island general electorates","$20,001– $25,000",2259
"Dunedin South","South Island general electorates","$20,001– $25,000",2241
"Ilam","South Island general electorates","$20,001– $25,000",1455
"Invercargill","South Island general electorates","$20,001– $25,000",2178
"Kaikoura","South Island general electorates","$20,001– $25,000",1869
"Nelson","South Island general electorates","$20,001– $25,000",2052
"Port Hills","South Island general electorates","$20,001– $25,000",1377
"Rangitata","South Island general electorates","$20,001– $25,000",2043
"Selwyn","South Island general electorates","$20,001– $25,000",918
"Waimakariri","South Island general electorates","$20,001– $25,000",1302
"Waitaki","South Island general electorates","$20,001– $25,000",2004
"West Coast-Tasman","South Island general electorates","$20,001– $25,000",2049
"Wigram","South Island general electorates","$20,001– $25,000",1782
"Area Outside General Electorate","South Island general electorates","$20,001– $25,000",NA
"Auckland Central","North Island general electorates","$25,001– $30,000",1590
"Bay of Plenty","North Island general electorates","$25,001– $30,000",2727
"Botany","North Island general electorates","$25,001– $30,000",1500
