"level0","level1","level2","level3","Total personal income(1)","count"
"Male","80–84 Years","Hutt South","North Island general electorates","Loss",0
"Female","80–84 Years","Hutt South","North Island general electorates","Loss",0
"Male","85 Years And Over","Hutt South","North Island general electorates","Loss",0
"Female","85 Years And Over","Hutt South","North Island general electorates","Loss",0
"Male","15–19 Years","Kelston","North Island general electorates","Loss",30
"Female","15–19 Years","Kelston","North Island general electorates","Loss",24
"Male","20–24 Years","Kelston","North Island general electorates","Loss",18
"Female","20–24 Years","Kelston","North Island general electorates","Loss",21
"Male","25–29 Years","Kelston","North Island general electorates","Loss",18
"Female","25–29 Years","Kelston","North Island general electorates","Loss",18
"Male","30–34 Years","Kelston","North Island general electorates","Loss",12
"Female","30–34 Years","Kelston","North Island general electorates","Loss",24
"Male","35–39 Years","Kelston","North Island general electorates","Loss",12
"Female","35–39 Years","Kelston","North Island general electorates","Loss",9
"Male","40–44 Years","Kelston","North Island general electorates","Loss",12
"Female","40–44 Years","Kelston","North Island general electorates","Loss",12
"Male","45–49 Years","Kelston","North Island general electorates","Loss",18
"Female","45–49 Years","Kelston","North Island general electorates","Loss",9
"Male","50–54 Years","Kelston","North Island general electorates","Loss",18
"Female","50–54 Years","Kelston","North Island general electorates","Loss",12
"Male","55–59 Years","Kelston","North Island general electorates","Loss",12
"Female","55–59 Years","Kelston","North Island general electorates","Loss",6
"Male","60–64 Years","Kelston","North Island general electorates","Loss",6
"Female","60–64 Years","Kelston","North Island general electorates","Loss",3
"Male","65–69 Years","Kelston","North Island general electorates","Loss",0
"Female","65–69 Years","Kelston","North Island general electorates","Loss",0
"Male","70–74 Years","Kelston","North Island general electorates","Loss",3
"Female","70–74 Years","Kelston","North Island general electorates","Loss",3
"Male","75–79 Years","Kelston","North Island general electorates","Loss",3
"Female","75–79 Years","Kelston","North Island general electorates","Loss",0
"Male","80–84 Years","Kelston","North Island general electorates","Loss",0
"Female","80–84 Years","Kelston","North Island general electorates","Loss",0
"Male","85 Years And Over","Kelston","North Island general electorates","Loss",0
"Female","85 Years And Over","Kelston","North Island general electorates","Loss",0
"Male","15–19 Years","Mana","North Island general electorates","Loss",24
"Female","15–19 Years","Mana","North Island general electorates","Loss",24
"Male","20–24 Years","Mana","North Island general electorates","Loss",6
"Female","20–24 Years","Mana","North Island general electorates","Loss",21
"Male","25–29 Years","Mana","North Island general electorates","Loss",9
"Female","25–29 Years","Mana","North Island general electorates","Loss",9
"Male","30–34 Years","Mana","North Island general electorates","Loss",9
"Female","30–34 Years","Mana","North Island general electorates","Loss",9
"Male","35–39 Years","Mana","North Island general electorates","Loss",9
"Female","35–39 Years","Mana","North Island general electorates","Loss",18
"Male","40–44 Years","Mana","North Island general electorates","Loss",12
"Female","40–44 Years","Mana","North Island general electorates","Loss",6
"Male","45–49 Years","Mana","North Island general electorates","Loss",18
"Female","45–49 Years","Mana","North Island general electorates","Loss",9
"Male","50–54 Years","Mana","North Island general electorates","Loss",9
"Female","50–54 Years","Mana","North Island general electorates","Loss",9
"Male","55–59 Years","Mana","North Island general electorates","Loss",9
"Female","55–59 Years","Mana","North Island general electorates","Loss",6
"Male","60–64 Years","Mana","North Island general electorates","Loss",9
"Female","60–64 Years","Mana","North Island general electorates","Loss",6
"Male","65–69 Years","Mana","North Island general electorates","Loss",3
"Female","65–69 Years","Mana","North Island general electorates","Loss",0
"Male","70–74 Years","Mana","North Island general electorates","Loss",0
"Female","70–74 Years","Mana","North Island general electorates","Loss",0
"Male","75–79 Years","Mana","North Island general electorates","Loss",0
"Female","75–79 Years","Mana","North Island general electorates","Loss",0
"Male","80–84 Years","Mana","North Island general electorates","Loss",0
"Female","80–84 Years","Mana","North Island general electorates","Loss",0
"Male","85 Years And Over","Mana","North Island general electorates","Loss",0
"Female","85 Years And Over","Mana","North Island general electorates","Loss",0
"Male","15–19 Years","Mangere","North Island general electorates","Loss",42
"Female","15–19 Years","Mangere","North Island general electorates","Loss",39
"Male","20–24 Years","Mangere","North Island general electorates","Loss",18
"Female","20–24 Years","Mangere","North Island general electorates","Loss",24
"Male","25–29 Years","Mangere","North Island general electorates","Loss",15
"Female","25–29 Years","Mangere","North Island general electorates","Loss",18
"Male","30–34 Years","Mangere","North Island general electorates","Loss",12
"Female","30–34 Years","Mangere","North Island general electorates","Loss",15
"Male","35–39 Years","Mangere","North Island general electorates","Loss",18
"Female","35–39 Years","Mangere","North Island general electorates","Loss",9
"Male","40–44 Years","Mangere","North Island general electorates","Loss",12
"Female","40–44 Years","Mangere","North Island general electorates","Loss",18
"Male","45–49 Years","Mangere","North Island general electorates","Loss",9
"Female","45–49 Years","Mangere","North Island general electorates","Loss",9
"Male","50–54 Years","Mangere","North Island general electorates","Loss",15
"Female","50–54 Years","Mangere","North Island general electorates","Loss",9
"Male","55–59 Years","Mangere","North Island general electorates","Loss",15
"Female","55–59 Years","Mangere","North Island general electorates","Loss",12
"Male","60–64 Years","Mangere","North Island general electorates","Loss",9
"Female","60–64 Years","Mangere","North Island general electorates","Loss",9
"Male","65–69 Years","Mangere","North Island general electorates","Loss",3
"Female","65–69 Years","Mangere","North Island general electorates","Loss",3
