"level0","level1","level2","Māori descent indicator(1) ","count"
"50–54 Years","Maungakiekie","North Island general electorates","Māori descent",441
"55–59 Years","Maungakiekie","North Island general electorates","Māori descent",378
"60–64 Years","Maungakiekie","North Island general electorates","Māori descent",282
"65–69 Years","Maungakiekie","North Island general electorates","Māori descent",177
"70–74 Years","Maungakiekie","North Island general electorates","Māori descent",129
"75–79 Years","Maungakiekie","North Island general electorates","Māori descent",69
"80–84 Years","Maungakiekie","North Island general electorates","Māori descent",27
"85 Years And Over","Maungakiekie","North Island general electorates","Māori descent",18
"18 Years And Over","Maungakiekie","North Island general electorates","Māori descent",5517
"0–4 Years","Mt Albert","North Island general electorates","Māori descent",585
"5–9 Years","Mt Albert","North Island general electorates","Māori descent",540
"10–14 Years","Mt Albert","North Island general electorates","Māori descent",447
"15–19 Years","Mt Albert","North Island general electorates","Māori descent",519
"20–24 Years","Mt Albert","North Island general electorates","Māori descent",645
"25–29 Years","Mt Albert","North Island general electorates","Māori descent",519
"30–34 Years","Mt Albert","North Island general electorates","Māori descent",465
"35–39 Years","Mt Albert","North Island general electorates","Māori descent",522
"40–44 Years","Mt Albert","North Island general electorates","Māori descent",540
"45–49 Years","Mt Albert","North Island general electorates","Māori descent",393
"50–54 Years","Mt Albert","North Island general electorates","Māori descent",366
"55–59 Years","Mt Albert","North Island general electorates","Māori descent",231
"60–64 Years","Mt Albert","North Island general electorates","Māori descent",162
"65–69 Years","Mt Albert","North Island general electorates","Māori descent",81
"70–74 Years","Mt Albert","North Island general electorates","Māori descent",60
"75–79 Years","Mt Albert","North Island general electorates","Māori descent",39
"80–84 Years","Mt Albert","North Island general electorates","Māori descent",21
"85 Years And Over","Mt Albert","North Island general electorates","Māori descent",27
"18 Years And Over","Mt Albert","North Island general electorates","Māori descent",4317
"0–4 Years","Mt Roskill","North Island general electorates","Māori descent",429
"5–9 Years","Mt Roskill","North Island general electorates","Māori descent",444
"10–14 Years","Mt Roskill","North Island general electorates","Māori descent",351
"15–19 Years","Mt Roskill","North Island general electorates","Māori descent",387
"20–24 Years","Mt Roskill","North Island general electorates","Māori descent",429
"25–29 Years","Mt Roskill","North Island general electorates","Māori descent",315
"30–34 Years","Mt Roskill","North Island general electorates","Māori descent",273
"35–39 Years","Mt Roskill","North Island general electorates","Māori descent",249
"40–44 Years","Mt Roskill","North Island general electorates","Māori descent",279
"45–49 Years","Mt Roskill","North Island general electorates","Māori descent",237
"50–54 Years","Mt Roskill","North Island general electorates","Māori descent",237
"55–59 Years","Mt Roskill","North Island general electorates","Māori descent",174
"60–64 Years","Mt Roskill","North Island general electorates","Māori descent",153
"65–69 Years","Mt Roskill","North Island general electorates","Māori descent",111
"70–74 Years","Mt Roskill","North Island general electorates","Māori descent",69
"75–79 Years","Mt Roskill","North Island general electorates","Māori descent",51
"80–84 Years","Mt Roskill","North Island general electorates","Māori descent",27
"85 Years And Over","Mt Roskill","North Island general electorates","Māori descent",24
"18 Years And Over","Mt Roskill","North Island general electorates","Māori descent",2799
"0–4 Years","Napier","North Island general electorates","Māori descent",1974
"5–9 Years","Napier","North Island general electorates","Māori descent",1926
"10–14 Years","Napier","North Island general electorates","Māori descent",1902
"15–19 Years","Napier","North Island general electorates","Māori descent",1647
"20–24 Years","Napier","North Island general electorates","Māori descent",1206
"25–29 Years","Napier","North Island general electorates","Māori descent",978
"30–34 Years","Napier","North Island general electorates","Māori descent",927
