"level0","level1","level2","Māori descent indicator(1) ","count"
"55–59 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",558
"60–64 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",468
"65–69 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",366
"70–74 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",255
"75–79 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",144
"80–84 Years","Manurewa","North Island general electorates","Not elsewhere included(3)",135
"85 Years And Over","Manurewa","North Island general electorates","Not elsewhere included(3)",114
"18 Years And Over","Manurewa","North Island general electorates","Not elsewhere included(3)",7689
"0–4 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",654
"5–9 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",522
"10–14 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",492
"15–19 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",537
"20–24 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",642
"25–29 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",615
"30–34 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",552
"35–39 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",486
"40–44 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",498
"45–49 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",510
"50–54 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",507
"55–59 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",438
"60–64 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",408
"65–69 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",318
"70–74 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",249
"75–79 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",174
"80–84 Years","Maungakiekie","North Island general electorates","Not elsewhere included(3)",123
"85 Years And Over","Maungakiekie","North Island general electorates","Not elsewhere included(3)",198
"18 Years And Over","Maungakiekie","North Island general electorates","Not elsewhere included(3)",5955
"0–4 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",357
"5–9 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",327
"10–14 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",270
"15–19 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",324
"20–24 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",600
"25–29 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",612
"30–34 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",504
"35–39 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",402
"40–44 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",366
"45–49 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",348
"50–54 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",357
"55–59 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",321
"60–64 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",297
"65–69 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",216
"70–74 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",165
"75–79 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",129
"80–84 Years","Mt Albert","North Island general electorates","Not elsewhere included(3)",126
"85 Years And Over","Mt Albert","North Island general electorates","Not elsewhere included(3)",231
"18 Years And Over","Mt Albert","North Island general electorates","Not elsewhere included(3)",4815
"0–4 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",447
"5–9 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",420
"10–14 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",363
"15–19 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",417
"20–24 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",492
"25–29 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",408
"30–34 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",372
"35–39 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",339
"40–44 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",339
"45–49 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",360
"50–54 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",354
"55–59 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",345
"60–64 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",294
"65–69 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",228
"70–74 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",216
"75–79 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",141
"80–84 Years","Mt Roskill","North Island general electorates","Not elsewhere included(3)",132
"85 Years And Over","Mt Roskill","North Island general electorates","Not elsewhere included(3)",189
"18 Years And Over","Mt Roskill","North Island general electorates","Not elsewhere included(3)",4398
"0–4 Years","Napier","North Island general electorates","Not elsewhere included(3)",486
"5–9 Years","Napier","North Island general electorates","Not elsewhere included(3)",444
"10–14 Years","Napier","North Island general electorates","Not elsewhere included(3)",459
"15–19 Years","Napier","North Island general electorates","Not elsewhere included(3)",444
"20–24 Years","Napier","North Island general electorates","Not elsewhere included(3)",378
"25–29 Years","Napier","North Island general electorates","Not elsewhere included(3)",312
"30–34 Years","Napier","North Island general electorates","Not elsewhere included(3)",324
"35–39 Years","Napier","North Island general electorates","Not elsewhere included(3)",348
"40–44 Years","Napier","North Island general electorates","Not elsewhere included(3)",417
"45–49 Years","Napier","North Island general electorates","Not elsewhere included(3)",435
"50–54 Years","Napier","North Island general electorates","Not elsewhere included(3)",474
"55–59 Years","Napier","North Island general electorates","Not elsewhere included(3)",462
"60–64 Years","Napier","North Island general electorates","Not elsewhere included(3)",465
"65–69 Years","Napier","North Island general electorates","Not elsewhere included(3)",396
"70–74 Years","Napier","North Island general electorates","Not elsewhere included(3)",324
"75–79 Years","Napier","North Island general electorates","Not elsewhere included(3)",285
"80–84 Years","Napier","North Island general electorates","Not elsewhere included(3)",276
"85 Years And Over","Napier","North Island general electorates","Not elsewhere included(3)",231
"18 Years And Over","Napier","North Island general electorates","Not elsewhere included(3)",5298
"0–4 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",408
"5–9 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",357
"10–14 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",357
"15–19 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",387
"20–24 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",447
"25–29 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",441
"30–34 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",405
"35–39 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",339
"40–44 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",408
"45–49 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",384
"50–54 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",408
"55–59 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",381
"60–64 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",342
"65–69 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",291
"70–74 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",255
"75–79 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",237
"80–84 Years","New Lynn","North Island general electorates","Not elsewhere included(3)",177
"85 Years And Over","New Lynn","North Island general electorates","Not elsewhere included(3)",189
"18 Years And Over","New Lynn","North Island general electorates","Not elsewhere included(3)",4878
"0–4 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",360
"5–9 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",360
"10–14 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",342
"15–19 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",387
"20–24 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",423
"25–29 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",309
"30–34 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",291
"35–39 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",309
"40–44 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",375
"45–49 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",393
"50–54 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",462
"55–59 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",432
"60–64 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",480
"65–69 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",432
"70–74 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",354
"75–79 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",354
"80–84 Years","New Plymouth","North Island general electorates","Not elsewhere included(3)",315
"85 Years And Over","New Plymouth","North Island general electorates","Not elsewhere included(3)",366
"18 Years And Over","New Plymouth","North Island general electorates","Not elsewhere included(3)",5445
"0–4 Years","North Shore","North Island general electorates","Not elsewhere included(3)",210
"5–9 Years","North Shore","North Island general electorates","Not elsewhere included(3)",222
"10–14 Years","North Shore","North Island general electorates","Not elsewhere included(3)",288
"15–19 Years","North Shore","North Island general electorates","Not elsewhere included(3)",321
"20–24 Years","North Shore","North Island general electorates","Not elsewhere included(3)",318
"25–29 Years","North Shore","North Island general electorates","Not elsewhere included(3)",222
"30–34 Years","North Shore","North Island general electorates","Not elsewhere included(3)",198
"35–39 Years","North Shore","North Island general electorates","Not elsewhere included(3)",225
"40–44 Years","North Shore","North Island general electorates","Not elsewhere included(3)",285
"45–49 Years","North Shore","North Island general electorates","Not elsewhere included(3)",294
"50–54 Years","North Shore","North Island general electorates","Not elsewhere included(3)",306
"55–59 Years","North Shore","North Island general electorates","Not elsewhere included(3)",285
"60–64 Years","North Shore","North Island general electorates","Not elsewhere included(3)",249
"65–69 Years","North Shore","North Island general electorates","Not elsewhere included(3)",237
"70–74 Years","North Shore","North Island general electorates","Not elsewhere included(3)",216
"75–79 Years","North Shore","North Island general electorates","Not elsewhere included(3)",174
"80–84 Years","North Shore","North Island general electorates","Not elsewhere included(3)",162
"85 Years And Over","North Shore","North Island general electorates","Not elsewhere included(3)",225
"18 Years And Over","North Shore","North Island general electorates","Not elsewhere included(3)",3522
"0–4 Years","Northcote","North Island general electorates","Not elsewhere included(3)",366
"5–9 Years","Northcote","North Island general electorates","Not elsewhere included(3)",291
"10–14 Years","Northcote","North Island general electorates","Not elsewhere included(3)",333
"15–19 Years","Northcote","North Island general electorates","Not elsewhere included(3)",354
"20–24 Years","Northcote","North Island general electorates","Not elsewhere included(3)",450
"25–29 Years","Northcote","North Island general electorates","Not elsewhere included(3)",408
"30–34 Years","Northcote","North Island general electorates","Not elsewhere included(3)",360
"35–39 Years","Northcote","North Island general electorates","Not elsewhere included(3)",360
"40–44 Years","Northcote","North Island general electorates","Not elsewhere included(3)",369
"45–49 Years","Northcote","North Island general electorates","Not elsewhere included(3)",324
"50–54 Years","Northcote","North Island general electorates","Not elsewhere included(3)",348
"55–59 Years","Northcote","North Island general electorates","Not elsewhere included(3)",342
"60–64 Years","Northcote","North Island general electorates","Not elsewhere included(3)",309
"65–69 Years","Northcote","North Island general electorates","Not elsewhere included(3)",267
"70–74 Years","Northcote","North Island general electorates","Not elsewhere included(3)",195
"75–79 Years","Northcote","North Island general electorates","Not elsewhere included(3)",171
"80–84 Years","Northcote","North Island general electorates","Not elsewhere included(3)",138
"85 Years And Over","Northcote","North Island general electorates","Not elsewhere included(3)",192
"18 Years And Over","Northcote","North Island general electorates","Not elsewhere included(3)",4368
"0–4 Years","Northland","North Island general electorates","Not elsewhere included(3)",780
"5–9 Years","Northland","North Island general electorates","Not elsewhere included(3)",756
"10–14 Years","Northland","North Island general electorates","Not elsewhere included(3)",741
"15–19 Years","Northland","North Island general electorates","Not elsewhere included(3)",774
"20–24 Years","Northland","North Island general electorates","Not elsewhere included(3)",585
"25–29 Years","Northland","North Island general electorates","Not elsewhere included(3)",507
"30–34 Years","Northland","North Island general electorates","Not elsewhere included(3)",480
"35–39 Years","Northland","North Island general electorates","Not elsewhere included(3)",489
"40–44 Years","Northland","North Island general electorates","Not elsewhere included(3)",639
"45–49 Years","Northland","North Island general electorates","Not elsewhere included(3)",678
"50–54 Years","Northland","North Island general electorates","Not elsewhere included(3)",888
"55–59 Years","Northland","North Island general electorates","Not elsewhere included(3)",822
"60–64 Years","Northland","North Island general electorates","Not elsewhere included(3)",798
"65–69 Years","Northland","North Island general electorates","Not elsewhere included(3)",729
"70–74 Years","Northland","North Island general electorates","Not elsewhere included(3)",558
"75–79 Years","Northland","North Island general electorates","Not elsewhere included(3)",384
"80–84 Years","Northland","North Island general electorates","Not elsewhere included(3)",276
"85 Years And Over","Northland","North Island general electorates","Not elsewhere included(3)",204
"18 Years And Over","Northland","North Island general electorates","Not elsewhere included(3)",8307
"0–4 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",222
"5–9 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",189
"10–14 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",246
"15–19 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",258
"20–24 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",255
"25–29 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",231
"30–34 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",231
"35–39 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",231
"40–44 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",267
"45–49 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",252
"50–54 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",246
"55–59 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",252
"60–64 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",207
"65–69 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",177
"70–74 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",165
"75–79 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",120
"80–84 Years","Ohariu","North Island general electorates","Not elsewhere included(3)",96
"85 Years And Over","Ohariu","North Island general electorates","Not elsewhere included(3)",90
"18 Years And Over","Ohariu","North Island general electorates","Not elsewhere included(3)",2919
"0–4 Years","Otaki","North Island general electorates","Not elsewhere included(3)",336
"5–9 Years","Otaki","North Island general electorates","Not elsewhere included(3)",318
"10–14 Years","Otaki","North Island general electorates","Not elsewhere included(3)",339
"15–19 Years","Otaki","North Island general electorates","Not elsewhere included(3)",342
"20–24 Years","Otaki","North Island general electorates","Not elsewhere included(3)",255
"25–29 Years","Otaki","North Island general electorates","Not elsewhere included(3)",198
"30–34 Years","Otaki","North Island general electorates","Not elsewhere included(3)",186
"35–39 Years","Otaki","North Island general electorates","Not elsewhere included(3)",240
"40–44 Years","Otaki","North Island general electorates","Not elsewhere included(3)",291
"45–49 Years","Otaki","North Island general electorates","Not elsewhere included(3)",357
"50–54 Years","Otaki","North Island general electorates","Not elsewhere included(3)",426
"55–59 Years","Otaki","North Island general electorates","Not elsewhere included(3)",372
"60–64 Years","Otaki","North Island general electorates","Not elsewhere included(3)",426
"65–69 Years","Otaki","North Island general electorates","Not elsewhere included(3)",465
"70–74 Years","Otaki","North Island general electorates","Not elsewhere included(3)",441
"75–79 Years","Otaki","North Island general electorates","Not elsewhere included(3)",414
"80–84 Years","Otaki","North Island general electorates","Not elsewhere included(3)",402
"85 Years And Over","Otaki","North Island general electorates","Not elsewhere included(3)",414
"18 Years And Over","Otaki","North Island general electorates","Not elsewhere included(3)",5010
"0–4 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",225
"5–9 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",234
"10–14 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",264
"15–19 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",339
"20–24 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",297
"25–29 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",216
"30–34 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",237
"35–39 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",234
"40–44 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",339
"45–49 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",297
"50–54 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",333
"55–59 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",306
"60–64 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",279
"65–69 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",237
"70–74 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",207
"75–79 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",141
"80–84 Years","Pakuranga","North Island general electorates","Not elsewhere included(3)",147
"85 Years And Over","Pakuranga","North Island general electorates","Not elsewhere included(3)",165
"18 Years And Over","Pakuranga","North Island general electorates","Not elsewhere included(3)",3540
"0–4 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",387
"5–9 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",345
"10–14 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",351
"15–19 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",447
"20–24 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",651
"25–29 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",435
"30–34 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",336
"35–39 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",303
"40–44 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",312
"45–49 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",324
"50–54 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",381
"55–59 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",348
"60–64 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",321
"65–69 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",237
"70–74 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",252
"75–79 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",237
"80–84 Years","Palmerston North","North Island general electorates","Not elsewhere included(3)",210
"85 Years And Over","Palmerston North","North Island general electorates","Not elsewhere included(3)",297
"18 Years And Over","Palmerston North","North Island general electorates","Not elsewhere included(3)",4866
"0–4 Years","Papakura","North Island general electorates","Not elsewhere included(3)",762
"5–9 Years","Papakura","North Island general electorates","Not elsewhere included(3)",717
"10–14 Years","Papakura","North Island general electorates","Not elsewhere included(3)",690
"15–19 Years","Papakura","North Island general electorates","Not elsewhere included(3)",642
"20–24 Years","Papakura","North Island general electorates","Not elsewhere included(3)",549
"25–29 Years","Papakura","North Island general electorates","Not elsewhere included(3)",459
"30–34 Years","Papakura","North Island general electorates","Not elsewhere included(3)",465
"35–39 Years","Papakura","North Island general electorates","Not elsewhere included(3)",477
"40–44 Years","Papakura","North Island general electorates","Not elsewhere included(3)",552
"45–49 Years","Papakura","North Island general electorates","Not elsewhere included(3)",543
"50–54 Years","Papakura","North Island general electorates","Not elsewhere included(3)",552
"55–59 Years","Papakura","North Island general electorates","Not elsewhere included(3)",447
"60–64 Years","Papakura","North Island general electorates","Not elsewhere included(3)",393
"65–69 Years","Papakura","North Island general electorates","Not elsewhere included(3)",330
"70–74 Years","Papakura","North Island general electorates","Not elsewhere included(3)",285
"75–79 Years","Papakura","North Island general electorates","Not elsewhere included(3)",198
"80–84 Years","Papakura","North Island general electorates","Not elsewhere included(3)",207
"85 Years And Over","Papakura","North Island general electorates","Not elsewhere included(3)",162
"18 Years And Over","Papakura","North Island general electorates","Not elsewhere included(3)",5883
"0–4 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",384
"5–9 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",345
"10–14 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",366
"15–19 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",399
"20–24 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",336
"25–29 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",312
"30–34 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",255
"35–39 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",273
"40–44 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",294
"45–49 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",366
"50–54 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",450
"55–59 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",354
"60–64 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",354
"65–69 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",333
"70–74 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",315
"75–79 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",249
"80–84 Years","Rangitikei","North Island general electorates","Not elsewhere included(3)",189
"85 Years And Over","Rangitikei","North Island general electorates","Not elsewhere included(3)",198
"18 Years And Over","Rangitikei","North Island general electorates","Not elsewhere included(3)",4422
"0–4 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",498
"5–9 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",495
"10–14 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",555
"15–19 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",507
"20–24 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",435
"25–29 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",402
"30–34 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",366
"35–39 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",438
"40–44 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",468
"45–49 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",480
"50–54 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",468
"55–59 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",372
"60–64 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",459
"65–69 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",348
"70–74 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",330
"75–79 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",240
"80–84 Years","Rimutaka","North Island general electorates","Not elsewhere included(3)",234
"85 Years And Over","Rimutaka","North Island general electorates","Not elsewhere included(3)",222
"18 Years And Over","Rimutaka","North Island general electorates","Not elsewhere included(3)",5445
"0–4 Years","Rodney","North Island general electorates","Not elsewhere included(3)",225
"5–9 Years","Rodney","North Island general electorates","Not elsewhere included(3)",261
"10–14 Years","Rodney","North Island general electorates","Not elsewhere included(3)",327
"15–19 Years","Rodney","North Island general electorates","Not elsewhere included(3)",360
"20–24 Years","Rodney","North Island general electorates","Not elsewhere included(3)",204
"25–29 Years","Rodney","North Island general electorates","Not elsewhere included(3)",186
"30–34 Years","Rodney","North Island general electorates","Not elsewhere included(3)",174
"35–39 Years","Rodney","North Island general electorates","Not elsewhere included(3)",201
"40–44 Years","Rodney","North Island general electorates","Not elsewhere included(3)",321
"45–49 Years","Rodney","North Island general electorates","Not elsewhere included(3)",327
"50–54 Years","Rodney","North Island general electorates","Not elsewhere included(3)",366
"55–59 Years","Rodney","North Island general electorates","Not elsewhere included(3)",300
"60–64 Years","Rodney","North Island general electorates","Not elsewhere included(3)",375
"65–69 Years","Rodney","North Island general electorates","Not elsewhere included(3)",375
"70–74 Years","Rodney","North Island general electorates","Not elsewhere included(3)",324
"75–79 Years","Rodney","North Island general electorates","Not elsewhere included(3)",270
"80–84 Years","Rodney","North Island general electorates","Not elsewhere included(3)",267
"85 Years And Over","Rodney","North Island general electorates","Not elsewhere included(3)",324
"18 Years And Over","Rodney","North Island general electorates","Not elsewhere included(3)",4146
"0–4 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",348
"5–9 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",330
"10–14 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",330
"15–19 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",345
"20–24 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",513
"25–29 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",429
"30–34 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",390
"35–39 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",390
"40–44 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",381
"45–49 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",357
"50–54 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",387
"55–59 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",339
"60–64 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",291
"65–69 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",222
"70–74 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",198
"75–79 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",165
"80–84 Years","Rongotai","North Island general electorates","Not elsewhere included(3)",150
"85 Years And Over","Rongotai","North Island general electorates","Not elsewhere included(3)",171
"18 Years And Over","Rongotai","North Island general electorates","Not elsewhere included(3)",4545
"0–4 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",693
"5–9 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",654
"10–14 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",717
"15–19 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",732
"20–24 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",663
"25–29 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",582
"30–34 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",474
"35–39 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",498
"40–44 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",564
"45–49 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",612
"50–54 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",720
"55–59 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",603
"60–64 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",558
"65–69 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",453
"70–74 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",378
"75–79 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",312
"80–84 Years","Rotorua","North Island general electorates","Not elsewhere included(3)",267
"85 Years And Over","Rotorua","North Island general electorates","Not elsewhere included(3)",288
"18 Years And Over","Rotorua","North Island general electorates","Not elsewhere included(3)",7233
"0–4 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",345
"5–9 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",393
"10–14 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",372
"15–19 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",366
"20–24 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",363
"25–29 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",354
"30–34 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",327
"35–39 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",294
"40–44 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",351
"45–49 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",375
"50–54 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",336
"55–59 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",372
"60–64 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",345
"65–69 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",246
"70–74 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",195
"75–79 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",216
