"level0","level1","Access to telecommunication systems(1) ","count"
"East Coast Bays","North Island general electorates","Not Elsewhere Included(4)",2061
"Epsom","North Island general electorates","Not Elsewhere Included(4)",2550
"Hamilton East","North Island general electorates","Not Elsewhere Included(4)",3408
"Hamilton West","North Island general electorates","Not Elsewhere Included(4)",3345
"Helensville","North Island general electorates","Not Elsewhere Included(4)",3192
"Hunua","North Island general electorates","Not Elsewhere Included(4)",2961
"Hutt South","North Island general electorates","Not Elsewhere Included(4)",2721
"Kelston","North Island general electorates","Not Elsewhere Included(4)",4266
"Mana","North Island general electorates","Not Elsewhere Included(4)",3390
"Mangere","North Island general electorates","Not Elsewhere Included(4)",6453
"Manukau East","North Island general electorates","Not Elsewhere Included(4)",6033
"Manurewa","North Island general electorates","Not Elsewhere Included(4)",6786
"Maungakiekie","North Island general electorates","Not Elsewhere Included(4)",4707
"Mt Albert","North Island general electorates","Not Elsewhere Included(4)",2889
"Mt Roskill","North Island general electorates","Not Elsewhere Included(4)",2889
"Napier","North Island general electorates","Not Elsewhere Included(4)",3138
"New Lynn","North Island general electorates","Not Elsewhere Included(4)",3234
"New Plymouth","North Island general electorates","Not Elsewhere Included(4)",2520
"North Shore","North Island general electorates","Not Elsewhere Included(4)",1764
"Northcote","North Island general electorates","Not Elsewhere Included(4)",2727
"Northland","North Island general electorates","Not Elsewhere Included(4)",7164
"Ohariu","North Island general electorates","Not Elsewhere Included(4)",1653
"Otaki","North Island general electorates","Not Elsewhere Included(4)",2610
"Pakuranga","North Island general electorates","Not Elsewhere Included(4)",1812
"Palmerston North","North Island general electorates","Not Elsewhere Included(4)",2922
"Papakura","North Island general electorates","Not Elsewhere Included(4)",4764
"Rangitikei","North Island general electorates","Not Elsewhere Included(4)",2109
"Rimutaka","North Island general electorates","Not Elsewhere Included(4)",3258
"Rodney","North Island general electorates","Not Elsewhere Included(4)",2304
"Rongotai","North Island general electorates","Not Elsewhere Included(4)",2784
"Rotorua","North Island general electorates","Not Elsewhere Included(4)",5727
"Tamaki","North Island general electorates","Not Elsewhere Included(4)",3213
"Taranaki-King Country","North Island general electorates","Not Elsewhere Included(4)",3189
"Taupo","North Island general electorates","Not Elsewhere Included(4)",3588
"Tauranga","North Island general electorates","Not Elsewhere Included(4)",2535
"Te Atatu","North Island general electorates","Not Elsewhere Included(4)",4086
"Tukituki","North Island general electorates","Not Elsewhere Included(4)",3843
"Upper Harbour","North Island general electorates","Not Elsewhere Included(4)",3423
"Waikato","North Island general electorates","Not Elsewhere Included(4)",3663
"Wairarapa","North Island general electorates","Not Elsewhere Included(4)",2454
"Wellington Central","North Island general electorates","Not Elsewhere Included(4)",2511
"Whanganui","North Island general electorates","Not Elsewhere Included(4)",3570
"Whangarei","North Island general electorates","Not Elsewhere Included(4)",4491
"Christchurch Central","South Island general electorates","Not Elsewhere Included(4)",2880
"Christchurch East","South Island general electorates","Not Elsewhere Included(4)",3333
"Clutha-Southland","South Island general electorates","Not Elsewhere Included(4)",2700
"Dunedin North","South Island general electorates","Not Elsewhere Included(4)",2742
"Dunedin South","South Island general electorates","Not Elsewhere Included(4)",1929
"Ilam","South Island general electorates","Not Elsewhere Included(4)",1410
"Invercargill","South Island general electorates","Not Elsewhere Included(4)",2370
"Kaikoura","South Island general electorates","Not Elsewhere Included(4)",2280
"Nelson","South Island general electorates","Not Elsewhere Included(4)",1779
"Port Hills","South Island general electorates","Not Elsewhere Included(4)",2007
"Rangitata","South Island general electorates","Not Elsewhere Included(4)",1755
"Selwyn","South Island general electorates","Not Elsewhere Included(4)",1566
"Waimakariri","South Island general electorates","Not Elsewhere Included(4)",1557
"Waitaki","South Island general electorates","Not Elsewhere Included(4)",2310
"West Coast-Tasman","South Island general electorates","Not Elsewhere Included(4)",2961
"Wigram","South Island general electorates","Not Elsewhere Included(4)",2688
"Area Outside General Electorate","South Island general electorates","Not Elsewhere Included(4)",NA
