"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Male","85 Years And Over","Ikaroa-Rāwhiti","Māori",69
"Female","85 Years And Over","Ikaroa-Rāwhiti","Māori",150
"Male","18 Years And Over","Ikaroa-Rāwhiti","Māori",20226
"Female","18 Years And Over","Ikaroa-Rāwhiti","Māori",24531
"Male","0–4 Years","Tāmaki Makaurau","Māori",4455
"Female","0–4 Years","Tāmaki Makaurau","Māori",4122
"Male","5–9 Years","Tāmaki Makaurau","Māori",4041
"Female","5–9 Years","Tāmaki Makaurau","Māori",3825
"Male","10–14 Years","Tāmaki Makaurau","Māori",3750
"Female","10–14 Years","Tāmaki Makaurau","Māori",3531
"Male","15–19 Years","Tāmaki Makaurau","Māori",3618
"Female","15–19 Years","Tāmaki Makaurau","Māori",3843
"Male","20–24 Years","Tāmaki Makaurau","Māori",3057
"Female","20–24 Years","Tāmaki Makaurau","Māori",3840
"Male","25–29 Years","Tāmaki Makaurau","Māori",2166
"Female","25–29 Years","Tāmaki Makaurau","Māori",2934
"Male","30–34 Years","Tāmaki Makaurau","Māori",1977
"Female","30–34 Years","Tāmaki Makaurau","Māori",2619
"Male","35–39 Years","Tāmaki Makaurau","Māori",2067
"Female","35–39 Years","Tāmaki Makaurau","Māori",2559
"Male","40–44 Years","Tāmaki Makaurau","Māori",2160
"Female","40–44 Years","Tāmaki Makaurau","Māori",2727
"Male","45–49 Years","Tāmaki Makaurau","Māori",2022
"Female","45–49 Years","Tāmaki Makaurau","Māori",2373
"Male","50–54 Years","Tāmaki Makaurau","Māori",1758
"Female","50–54 Years","Tāmaki Makaurau","Māori",2205
"Male","55–59 Years","Tāmaki Makaurau","Māori",1281
"Female","55–59 Years","Tāmaki Makaurau","Māori",1656
"Male","60–64 Years","Tāmaki Makaurau","Māori",966
"Female","60–64 Years","Tāmaki Makaurau","Māori",1197
"Male","65–69 Years","Tāmaki Makaurau","Māori",669
"Female","65–69 Years","Tāmaki Makaurau","Māori",777
"Male","70–74 Years","Tāmaki Makaurau","Māori",423
"Female","70–74 Years","Tāmaki Makaurau","Māori",540
"Male","75–79 Years","Tāmaki Makaurau","Māori",225
"Female","75–79 Years","Tāmaki Makaurau","Māori",336
"Male","80–84 Years","Tāmaki Makaurau","Māori",78
"Female","80–84 Years","Tāmaki Makaurau","Māori",183
"Male","85 Years And Over","Tāmaki Makaurau","Māori",27
"Female","85 Years And Over","Tāmaki Makaurau","Māori",87
"Male","18 Years And Over","Tāmaki Makaurau","Māori",20316
"Female","18 Years And Over","Tāmaki Makaurau","Māori",25710
"Male","0–4 Years","Te Tai Hauāuru","Māori",5199
"Female","0–4 Years","Te Tai Hauāuru","Māori",4974
"Male","5–9 Years","Te Tai Hauāuru","Māori",4968
"Female","5–9 Years","Te Tai Hauāuru","Māori",4659
"Male","10–14 Years","Te Tai Hauāuru","Māori",4692
"Female","10–14 Years","Te Tai Hauāuru","Māori",4458
"Male","15–19 Years","Te Tai Hauāuru","Māori",4176
"Female","15–19 Years","Te Tai Hauāuru","Māori",4074
"Male","20–24 Years","Te Tai Hauāuru","Māori",3054
"Female","20–24 Years","Te Tai Hauāuru","Māori",3423
"Male","25–29 Years","Te Tai Hauāuru","Māori",2235
"Female","25–29 Years","Te Tai Hauāuru","Māori",2829
"Male","30–34 Years","Te Tai Hauāuru","Māori",2151
"Female","30–34 Years","Te Tai Hauāuru","Māori",2580
"Male","35–39 Years","Te Tai Hauāuru","Māori",2115
"Female","35–39 Years","Te Tai Hauāuru","Māori",2763
"Male","40–44 Years","Te Tai Hauāuru","Māori",2394
"Female","40–44 Years","Te Tai Hauāuru","Māori",2868
"Male","45–49 Years","Te Tai Hauāuru","Māori",2277
"Female","45–49 Years","Te Tai Hauāuru","Māori",2532
"Male","50–54 Years","Te Tai Hauāuru","Māori",2076
"Female","50–54 Years","Te Tai Hauāuru","Māori",2469
"Male","55–59 Years","Te Tai Hauāuru","Māori",1599
"Female","55–59 Years","Te Tai Hauāuru","Māori",1839
"Male","60–64 Years","Te Tai Hauāuru","Māori",1218
"Female","60–64 Years","Te Tai Hauāuru","Māori",1452
"Male","65–69 Years","Te Tai Hauāuru","Māori",834
"Female","65–69 Years","Te Tai Hauāuru","Māori",1002
"Male","70–74 Years","Te Tai Hauāuru","Māori",627
"Female","70–74 Years","Te Tai Hauāuru","Māori",696
"Male","75–79 Years","Te Tai Hauāuru","Māori",339
"Female","75–79 Years","Te Tai Hauāuru","Māori",450
"Male","80–84 Years","Te Tai Hauāuru","Māori",168
"Female","80–84 Years","Te Tai Hauāuru","Māori",234
"Male","85 Years And Over","Te Tai Hauāuru","Māori",69
"Female","85 Years And Over","Te Tai Hauāuru","Māori",129
"Male","18 Years And Over","Te Tai Hauāuru","Māori",22617
"Female","18 Years And Over","Te Tai Hauāuru","Māori",26682
"Male","0–4 Years","Te Tai Tokerau","Māori",4935
"Female","0–4 Years","Te Tai Tokerau","Māori",4659
"Male","5–9 Years","Te Tai Tokerau","Māori",4479
"Female","5–9 Years","Te Tai Tokerau","Māori",4446
"Male","10–14 Years","Te Tai Tokerau","Māori",4470
"Female","10–14 Years","Te Tai Tokerau","Māori",4107
"Male","15–19 Years","Te Tai Tokerau","Māori",3822
"Female","15–19 Years","Te Tai Tokerau","Māori",3735
"Male","20–24 Years","Te Tai Tokerau","Māori",2781
"Female","20–24 Years","Te Tai Tokerau","Māori",3087
"Male","25–29 Years","Te Tai Tokerau","Māori",2064
"Female","25–29 Years","Te Tai Tokerau","Māori",2640
"Male","30–34 Years","Te Tai Tokerau","Māori",1908
"Female","30–34 Years","Te Tai Tokerau","Māori",2397
"Male","35–39 Years","Te Tai Tokerau","Māori",2082
"Female","35–39 Years","Te Tai Tokerau","Māori",2622
"Male","40–44 Years","Te Tai Tokerau","Māori",2313
"Female","40–44 Years","Te Tai Tokerau","Māori",2703
"Male","45–49 Years","Te Tai Tokerau","Māori",2319
"Female","45–49 Years","Te Tai Tokerau","Māori",2637
"Male","50–54 Years","Te Tai Tokerau","Māori",2127
"Female","50–54 Years","Te Tai Tokerau","Māori",2613
"Male","55–59 Years","Te Tai Tokerau","Māori",1581
"Female","55–59 Years","Te Tai Tokerau","Māori",1923
"Male","60–64 Years","Te Tai Tokerau","Māori",1176
"Female","60–64 Years","Te Tai Tokerau","Māori",1497
"Male","65–69 Years","Te Tai Tokerau","Māori",834
"Female","65–69 Years","Te Tai Tokerau","Māori",996
"Male","70–74 Years","Te Tai Tokerau","Māori",618
"Female","70–74 Years","Te Tai Tokerau","Māori",720
"Male","75–79 Years","Te Tai Tokerau","Māori",345
"Female","75–79 Years","Te Tai Tokerau","Māori",474
"Male","80–84 Years","Te Tai Tokerau","Māori",180
"Female","80–84 Years","Te Tai Tokerau","Māori",270
"Male","85 Years And Over","Te Tai Tokerau","Māori",75
