"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Male","30–34 Years","Te Tai Hauāuru","Māori",480
"Female","30–34 Years","Te Tai Hauāuru","Māori",663
"Male","35–39 Years","Te Tai Hauāuru","Māori",450
"Female","35–39 Years","Te Tai Hauāuru","Māori",678
"Male","40–44 Years","Te Tai Hauāuru","Māori",546
"Female","40–44 Years","Te Tai Hauāuru","Māori",648
"Male","45–49 Years","Te Tai Hauāuru","Māori",486
"Female","45–49 Years","Te Tai Hauāuru","Māori",585
"Male","50–54 Years","Te Tai Hauāuru","Māori",567
"Female","50–54 Years","Te Tai Hauāuru","Māori",624
"Male","55–59 Years","Te Tai Hauāuru","Māori",420
"Female","55–59 Years","Te Tai Hauāuru","Māori",426
"Male","60–64 Years","Te Tai Hauāuru","Māori",336
"Female","60–64 Years","Te Tai Hauāuru","Māori",393
"Male","65–69 Years","Te Tai Hauāuru","Māori",264
"Female","65–69 Years","Te Tai Hauāuru","Māori",282
"Male","70–74 Years","Te Tai Hauāuru","Māori",261
"Female","70–74 Years","Te Tai Hauāuru","Māori",243
"Male","75–79 Years","Te Tai Hauāuru","Māori",141
"Female","75–79 Years","Te Tai Hauāuru","Māori",177
"Male","80–84 Years","Te Tai Hauāuru","Māori",75
"Female","80–84 Years","Te Tai Hauāuru","Māori",108
"Male","85 Years And Over","Te Tai Hauāuru","Māori",30
"Female","85 Years And Over","Te Tai Hauāuru","Māori",54
"Male","0–4 Years","Te Tai Tokerau","Māori",672
"Female","0–4 Years","Te Tai Tokerau","Māori",594
"Male","5–9 Years","Te Tai Tokerau","Māori",714
"Female","5–9 Years","Te Tai Tokerau","Māori",720
"Male","10–14 Years","Te Tai Tokerau","Māori",828
"Female","10–14 Years","Te Tai Tokerau","Māori",864
"Male","15–19 Years","Te Tai Tokerau","Māori",699
"Female","15–19 Years","Te Tai Tokerau","Māori",819
"Male","20–24 Years","Te Tai Tokerau","Māori",528
"Female","20–24 Years","Te Tai Tokerau","Māori",642
"Male","25–29 Years","Te Tai Tokerau","Māori",408
"Female","25–29 Years","Te Tai Tokerau","Māori",624
"Male","30–34 Years","Te Tai Tokerau","Māori",393
"Female","30–34 Years","Te Tai Tokerau","Māori",585
"Male","35–39 Years","Te Tai Tokerau","Māori",414
"Female","35–39 Years","Te Tai Tokerau","Māori",564
"Male","40–44 Years","Te Tai Tokerau","Māori",495
"Female","40–44 Years","Te Tai Tokerau","Māori",606
"Male","45–49 Years","Te Tai Tokerau","Māori",507
