"level0","level1","Occupied dwelling type","count"
"New Plymouth","North Island general electorates","Other non–private dwellings(4)",141
"North Shore","North Island general electorates","Other non–private dwellings(4)",123
"Northcote","North Island general electorates","Other non–private dwellings(4)",21
"Northland","North Island general electorates","Other non–private dwellings(4)",378
"Ohariu","North Island general electorates","Other non–private dwellings(4)",6
"Otaki","North Island general electorates","Other non–private dwellings(4)",63
"Pakuranga","North Island general electorates","Other non–private dwellings(4)",36
"Palmerston North","North Island general electorates","Other non–private dwellings(4)",186
"Papakura","North Island general electorates","Other non–private dwellings(4)",48
"Rangitikei","North Island general electorates","Other non–private dwellings(4)",138
"Rimutaka","North Island general electorates","Other non–private dwellings(4)",108
"Rodney","North Island general electorates","Other non–private dwellings(4)",132
"Rongotai","North Island general electorates","Other non–private dwellings(4)",201
"Rotorua","North Island general electorates","Other non–private dwellings(4)",309
"Tamaki","North Island general electorates","Other non–private dwellings(4)",165
"Taranaki-King Country","North Island general electorates","Other non–private dwellings(4)",201
"Taupo","North Island general electorates","Other non–private dwellings(4)",162
"Tauranga","North Island general electorates","Other non–private dwellings(4)",135
"Te Atatu","North Island general electorates","Other non–private dwellings(4)",42
"Tukituki","North Island general electorates","Other non–private dwellings(4)",375
"Upper Harbour","North Island general electorates","Other non–private dwellings(4)",36
"Waikato","North Island general electorates","Other non–private dwellings(4)",81
"Wairarapa","North Island general electorates","Other non–private dwellings(4)",126
"Wellington Central","North Island general electorates","Other non–private dwellings(4)",1002
"Whanganui","North Island general electorates","Other non–private dwellings(4)",153
"Whangarei","North Island general electorates","Other non–private dwellings(4)",165
"Christchurch Central","South Island general electorates","Other non–private dwellings(4)",429
"Christchurch East","South Island general electorates","Other non–private dwellings(4)",63
"Clutha-Southland","South Island general electorates","Other non–private dwellings(4)",663
"Dunedin North","South Island general electorates","Other non–private dwellings(4)",561
"Dunedin South","South Island general electorates","Other non–private dwellings(4)",129
"Ilam","South Island general electorates","Other non–private dwellings(4)",114
"Invercargill","South Island general electorates","Other non–private dwellings(4)",129
"Kaikoura","South Island general electorates","Other non–private dwellings(4)",351
"Nelson","South Island general electorates","Other non–private dwellings(4)",417
"Port Hills","South Island general electorates","Other non–private dwellings(4)",24
"Rangitata","South Island general electorates","Other non–private dwellings(4)",183
"Selwyn","South Island general electorates","Other non–private dwellings(4)",207
"Waimakariri","South Island general electorates","Other non–private dwellings(4)",129
